open_price,high_price,low_price,noof_shares,close_price,predicted_close_price
17815.0,17938.35,17630.45,3080,17677.75,
14320.8,14320.8,14054.05,5696,14081.9,
5262.0,5299.0,5181.75,1667,5250.3,
9550.0,9795.0,9550.0,8532,9657.75,
18750.0,19040.5,18620.0,9857,18958.55,
14150.6,14232.6,14088.0,1037,14144.5,
9991.0,10094.9,9752.0,1756,9785.55,
17650.0,17692.9,17513.1,3170,17642.5,
17699.0,17737.05,17380.0,2560,17452.75,
6040.0,6040.0,5850.0,1588,5908.85,
10450.0,10730.1,10255.0,12948,10582.1,
6294.3,6294.3,6150.25,843,6181.8,
4800.0,4889.9,4775.0,9505,4829.2,
11666.0,11672.0,11469.95,3621,11598.35,
10603.0,10875.5,10602.65,2552,10826.15,
19810.0,20333.8,19810.0,4279,19907.4,
4750.0,4750.0,4700.0,233,4710.35,
16470.0,16548.95,16244.0,2458,16426.9,
10332.85,10374.3,10030.0,3617,10059.05,
9711.0,9782.0,9628.0,1222,9669.45,
17421.0,17750.0,17322.45,21342,17667.9,
16998.0,17520.55,16575.95,4200,16848.2,
5394.5,5447.0,5351.15,3982,5412.85,
5236.8,5420.0,5201.0,5914,5399.55,
4800.0,4828.0,4785.0,507,4790.25,
4909.0,4915.0,4885.0,132,4908.75,
9878.0,10000.0,9852.5,1778,9901.05,
4749.0,4769.0,4715.0,606,4720.1,
7033.85,7033.85,6766.6,25326,6859.2,
17815.3,17815.35,17260.0,4035,17415.65,
5162.0,5250.0,5124.2,3756,5171.0,
16907.0,17733.9,16766.0,9556,17464.2,
5055.0,5059.0,4960.1,2343,4970.3,
15900.0,16132.5,15876.85,2633,16111.8,
6855.35,6894.9,6750.0,1712,6851.85,
5413.0,5455.75,5390.0,841,5418.4,
16555.0,16565.0,16375.0,2500,16400.8,
6899.0,6899.0,6810.8,1123,6819.1,
4853.45,4898.0,4848.0,41721,4877.9,
19074.95,19254.0,18606.3,1988,18893.7,
6150.0,6180.0,6130.8,2678,6163.3,
6351.75,6500.0,6315.0,8762,6437.8,
5075.0,5097.75,4970.0,1721,5010.0,
9650.0,9840.0,9391.05,10064,9727.05,
6209.0,6252.85,6162.75,3494,6173.6,
5472.45,5537.8,5390.1,3439,5433.65,
6175.0,6203.95,6115.05,1623,6189.75,
10499.0,10499.0,10135.0,2014,10152.7,
16749.0,16749.35,16350.0,7288,16458.1,
4575.05,4690.0,4546.1,4578,4556.35,
5598.5,5617.0,5519.0,3809,5548.55,
5140.0,5140.0,5030.0,2443,5044.7,
4811.1,4860.0,4790.4,2396,4844.35,
4831.1,4890.0,4773.0,3782,4830.3,
8000.0,8001.0,7777.0,2831,7879.35,
7720.0,7870.0,7705.2,4116,7824.2,
16799.0,16799.0,16445.6,5200,16531.6,
6714.6,6724.3,6690.05,681,6704.8,
4650.0,4765.1,4595.0,55152,4606.2,
4476.0,4528.0,4413.0,4269,4496.9,
16182.1,16300.0,16060.0,3188,16096.1,
6478.95,6630.0,6457.3,3103,6596.7,
10383.45,10391.5,10231.45,1116,10287.1,
19200.0,19385.35,19106.95,536,19305.75,
4915.0,4974.0,4890.0,3914,4917.35,
4434.9,4450.0,4351.0,1343,4372.55,
17926.6,17926.6,17402.95,1341,17450.8,
10888.0,10947.8,10843.7,1800,10876.8,
4840.05,4944.75,4785.5,4078,4903.3,
7505.85,7505.85,7399.0,61629,7436.75,
4898.9,4898.9,4807.0,3609,4821.4,
16133.0,16320.2,16072.75,1941,16300.9,
